Dyad,Player,Round,Category,RegionCoded,RegionGo,Score,JointRegion
1482914508,145088,37,UP,abcdefghijklmnopqrstuvwxyzABCDEF,UP,32,
1482914508,145088,40,UP,abcdefghijklmnopqrstuvwxyzABCDEF,UP,32,
1482914508,145088,43,UP,abcdefghijklmnopqrstuvwxyzABCDEF,UP,32,
1482914508,145088,44,UP,abcdefghijklmnopqrstuvwxyzABCDEF,UP,32,
1482914508,145088,46,UP,abcdefghijklmnopqrstuvwxyzABCDEF,UP,32,
1482914508,145088,47,UP,abcdefghijklmnopqrstuvwxyzABCDEF,UP,32,
1482914508,145088,49,UP,abcdefghijklmnopqrstuvwxyzABCDEF,UP,32,
1482914508,145088,51,UP,abcdefghijklmnopqrstuvwxyzABCDEF,UP,32,
1482914508,145088,52,UP,abcdefghijklmnopqrstuvwxyzABCDEF,UP,32,
1482914508,145088,53,UP,abcdefghijklmnopqrstuvwxyzABCDEF,UP,32,
1482914508,145088,54,UP,abcdefghijklmnopqrstuvwxyzABCDEF,UP,32,
1482914508,145088,58,UP,abcdefghijklmnopqrstuvwxyzABCDEF,UP,32,
1482914508,145088,60,UP,abcdefghijklmnopqrstuvwxyzABCDEF,,32,
1482914508,148295,1,RS,dhiklmpqrtuvxzBCEFGJKMNPRTUYZ24;:,RS,18,himptuCJKPTY2;
1482914508,148295,3,RS,bcdeijlmnopruvxzCGIJKLMNQRSUWYZ023679;:,LEFT,9,cejlmnpvCGJKLMNQSZ0369:
1482914508,148295,5,LEFT,abcdijklqrstyzABGHIJOPQRWXYZ4567,DOWN,16,abcdijklqrstyzAB
1482914508,148295,8,DOWN,GHIJKLMNOPQRSTUVWXYZ0123456789;:,DOWN,32,
1482914508,148295,10,DOWN,GHIJKLMNOPQRSTUVWXYZ0123456789;:,DOWN,32,
1482914508,148295,15,DOWN,GHIJKLMNOPQRSTUVWXYZ0123456789;:,DOWN,32,
1482914508,148295,16,DOWN,GHIJKLMNOPQRSTUVWXYZ0123456789;:,DOWN,32,
1482914508,148295,19,DOWN,GHIJKLMNOPQRSTUVWXYZ0123456789;:,DOWN,32,
1482914508,148295,21,DOWN,GHIJKLMNOPQRSTUVWXYZ0123456789;:,DOWN,32,
1482914508,148295,23,DOWN,GHIJKLMNOPQRSTUVWXYZ0123456789;:,DOWN,32,
