"Dyad","Player","Region","RegionGo","RJcode","Score"
41503271,"415013","ALL","ALL","v",31
41503271,"415013","ALL","ALL","v",31
41503271,"415013","ALL","ALL","v",31
41503271,"415013","ALL","ALL","v",31
41503271,"415013","ALL","ALL","v",31
41503271,"415013","ALL","ALL","v",31
41503271,"415013","ALL","ALL","v",31
41503271,"415013","ALL","ALL","v",31
41503271,"415013","ALL","ALL","v",31
41503271,"415013","ALL","ALL","v",31
41503271,"415013","ALL","ALL","v",31
41503271,"415013","ALL",NA,"v",31
45584514,"451448","RS","RS","x",31
45584514,"451448","RS","RS","x",31
45584514,"451448","RS","RS","x",31
45584514,"451448","RS","RS","x",31
45584514,"451448","RS","RS","x",31
45584514,"451448","RS","RS","x",31
45584514,"451448","RS","RS","",32
45584514,"451448","RS","RS","",32
45584514,"451448","RS","RS","",32
45584514,"451448","RS","RS","",32
45584514,"451448","RS","RS","",32
45584514,"451448","RS","OUT","",32
45584514,"451448","OUT","OUT","",32
45584514,"451448","OUT","OUT","",32
45584514,"451448","OUT","OUT","",32
45584514,"451448","OUT","OUT","",32
45584514,"451448","OUT","OUT","",32
45584514,"451448","OUT","OUT","",32
45584514,"451448","OUT","OUT","",32
45584514,"451448","OUT","OUT","",32
45584514,"451448","OUT","OUT","",32
45584514,"451448","OUT",NA,"",32
45584514,"455896","RS","RS","x",31
45584514,"455896","RS","RS","x",31
45584514,"455896","RS","RS","x",31
45584514,"455896","RS","RS","x",31
45584514,"455896","RS","RS","x",31
45584514,"455896","RS","NOTHING","x",31
45584514,"455896","NOTHING","NOTHING","",32
45584514,"455896","NOTHING","NOTHING","",32
45584514,"455896","NOTHING","NOTHING","",32
45584514,"455896","NOTHING","NOTHING","",32
45584514,"455896","NOTHING","NOTHING","",32
45584514,"455896","NOTHING","IN","",32
45584514,"455896","IN","IN","",32
45584514,"455896","IN","IN","",32
45584514,"455896","IN","IN","",32
45584514,"455896","IN","IN","",32
45584514,"455896","IN","IN","",32
45584514,"455896","IN","IN","",32
45584514,"455896","IN","IN","",32
45584514,"455896","IN","IN","",32
45584514,"455896","IN","IN","",32
45584514,"455896","IN",NA,"",32
47497647,"76472","RS","RS","CD2",29
47497647,"76472","RS","RS","CD2",29
47497647,"76472","RS","RS","CD2",29
47497647,"76472","RS","RS","efghnouvwDNUV028:",15
47497647,"76472","RS","RS","dfinrBCEGHJKLT1",17
47497647,"76472","RS","RS","",32
47497647,"76472","RS","RS","",32
47497647,"76472","RS","RS","JKLOQSXZ0345679;:",15
47497647,"76472","RS","ALL","djqsyzAPQ4",22
47497647,"76472","ALL","RS","abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789;:",-32
47497647,"76472","RS",NA,"",32
47497647,"474991","RIGHT","RIGHT","CD2",29
47497647,"474991","RIGHT","RIGHT","CD2",29
47497647,"474991","RIGHT","RIGHT","CD2",29
47497647,"474991","RIGHT","RS","efghnouvwDNUV028:",15
47497647,"474991","RS","RS","dfinrBCEGHJKLT1",17
47497647,"474991","RS","RS","",32
47497647,"474991","RS","DOWN","",32
47497647,"474991","DOWN","LEFT","JKLOQSXZ0345679;:",15
47497647,"474991","LEFT","ALL","djqsyzAPQ4",22
47497647,"474991","ALL","NOTHING","abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789;:",-32
47497647,"474991","NOTHING",NA,"",32
47541197,"119798","NOTHING","NOTHING","",32
47541197,"119798","NOTHING","RS","",32
47541197,"119798","RS","RS","",32
47541197,"119798","RS","RS","",32
47541197,"119798","RS","RS","",32
47541197,"119798","RS","RS","oL",30
47541197,"119798","RS","RS","oL",30
47541197,"119798","RS","RS","oL",30
47541197,"119798","RS","ALL","oL",30
47541197,"119798","ALL","ALL","",32
47541197,"119798","ALL","ALL","",32
47541197,"119798","ALL","ALL","",32
47541197,"119798","ALL","ALL","",32
47541197,"119798","ALL","ALL","",32
47541197,"119798","ALL","ALL","",32
47541197,"119798","ALL","ALL","",32
47541197,"119798","ALL",NA,"",32
47541197,"475466","NOTHING","NOTHING","",32
47541197,"475466","NOTHING","NOTHING","",32
47541197,"475466","NOTHING","NOTHING","",32
47541197,"475466","NOTHING","NOTHING","",32
47541197,"475466","NOTHING","RIGHT","",32
47541197,"475466","RIGHT","RIGHT","oL",30
47541197,"475466","RIGHT","RIGHT","oL",30
47541197,"475466","RIGHT","RIGHT","oL",30
47541197,"475466","RIGHT","NOTHING","oL",30
47541197,"475466","NOTHING","NOTHING","",32
47541197,"475466","NOTHING","NOTHING","",32
47541197,"475466","NOTHING","NOTHING","",32
47541197,"475466","NOTHING","NOTHING","",32
47541197,"475466","NOTHING","NOTHING","",32
47541197,"475466","NOTHING","NOTHING","",32
47541197,"475466","NOTHING","NOTHING","",32
47541197,"475466","NOTHING",NA,"",32
52736177,"6177","RS","RS","ktT",29
52736177,"6177","RS","RS","tvV6",28
52736177,"6177","RS","RS","efhouvxAL0;",21
52736177,"6177","RS","RS","eklnrsuGNS256",19
52736177,"6177","RS","RS","dlLU",28
52736177,"6177","RS","RS","bdghlmquxyABJMPRUVXZ0249;",7
52736177,"6177","RS","RS","",32
52736177,"6177","RS","IN","ILQWXY01258:",20
52736177,"6177","IN","RS","jorstwzBCDIJKPRXZ02",13
52736177,"6177","RS","RS","pD",30
52736177,"6177","RS","RS","afghijlmoprstuvyABDEF",11
52736177,"6177","RS","RS","",32
52736177,"6177","RS","RS","",32
52736177,"6177","RS",NA,"",32
52736177,"527376","RS","RS","ktT",29
52736177,"527376","RS","RS","tvV6",28
52736177,"527376","RS","RS","efhouvxAL0;",21
52736177,"527376","RS","RS","eklnrsuGNS256",19
52736177,"527376","RS","RS","dlLU",28
52736177,"527376","RS","RS","bdghlmquxyABJMPRUVXZ0249;",7
52736177,"527376","RS","DOWN","",32
52736177,"527376","DOWN","RS","ILQWXY01258:",20
52736177,"527376","RS","RIGHT","jorstwzBCDIJKPRXZ02",13
52736177,"527376","RIGHT","UP","pD",30
52736177,"527376","UP","NOTHING","afghijlmoprstuvyABDEF",11
52736177,"527376","NOTHING","NOTHING","",32
52736177,"527376","NOTHING","NOTHING","",32
